Seq.   (i);Núm.;Candidato;Partido/Coligação;Votação;% Válidos
*0001;15000;ARNALDINHO BORGO;PMDB - DEM / PMDB / SD;5.392;2,47 %
*0002;25333;IVAN CARLINI;DEM - DEM / PMDB / SD;4.726;2,17 %
*0003;23222;RICARDO CHIABAI;PPS - PDT / PSB / PPS;4.268;1,96 %
*0004;25777;ROGERIO CARDOSO;DEM - DEM / PMDB / SD;3.863;1,77 %
*0005;27444;ANADELSO PEREIRA;PSDC - PRB / PSDC / REDE;3.135;1,44 %
*0006;10123;OSVALDO MATURANO;PRB - PRB / PSDC / REDE;2.969;1,36 %
*0007;19700;BRUNO LORENZUTTI;PTN;2.831;1,30 %
*0008;55012;ADEILSON HORTI SUPER;PSD - PSD / PSC / PV;2.827;1,30 %
*0009;20000;REGINALDO ALMEIDA;PSC - PSD / PSC / PV;2.769;1,27 %
*0010;44111;TIA NILMA;PRP;2.419;1,11 %
*0011;70133;VALDIR DO RESTAURANTE;PT do B - PP / PT do B / PC do B / PROS;2.346;1,08 %
*0012;17200;DONA ARLETE;PSL - PSL / PMB;2.183;1,00 %
*0013;19900;MIRIM MONTEBELLER;PTN;2.174;1,00 %
*0014;22700;HELIOSANDRO;PR - PSDB / PR;2.053;0,94 %
*0015;35123;PATRICIA CRIZANTO;PMB - PSL / PMB;2.007;0,92 %
*0016;36036;ZÉ DO RENASCER;PTC - PTB / PTC / PEN;1.941;0,89 %
*0017;31193;PM CHICO SIQUEIRA;PHS - PHS / PMN;1.585;0,73 %
0018;15500;JOEL RANGEL;PMDB - DEM / PMDB / SD;3.609;1,66 %
0019;25600;MARCOS RODRIGUES;DEM - DEM / PMDB / SD;3.310;1,52 %
0020;20444;ZÉ FERREIRA DA MATERNIDADE;PSC - PSD / PSC / PV;2.198;1,01 %
0021;40222;JOÃO ARTEM;PSB - PDT / PSB / PPS;2.087;0,96 %
0022;10333;BELO;PRB - PRB / PSDC / REDE;1.998;0,92 %
0023;11000;JOÃO VITOR;PP - PP / PT do B / PC do B / PROS;1.987;0,91 %
0024;19100;WELBER DA VISEL;PTN;1.966;0,90 %
0025;55555;WANDERSON PIRES;PSD - PSD / PSC / PV;1.938;0,89 %
0026;25222;VALTER ROCON;DEM - DEM / PMDB / SD;1.877;0,86 %
0027;12777;ALMIR NERES;PDT - PDT / PSB / PPS;1.841;0,84 %
0028;19200;WEDSON BONELI;PTN;1.838;0,84 %
0029;19222;BRUNO VITALINO;PTN;1.827;0,84 %
0030;70123;TENORIO MERLO;PT do B - PP / PT do B / PC do B / PROS;1.799;0,83 %
0031;27200;ERILDO DO SALÃO;PSDC - PRB / PSDC / REDE;1.767;0,81 %
0032;19111;SÉRGIO COTÓ;PTN;1.673;0,77 %
0033;19800;ANA PAULA;PTN;1.581;0,73 %
0034;19123;EDILSON/PINDUCA;PTN;1.563;0,72 %
0035;44700;RICARDO PIRES;PRP;1.551;0,71 %
0036;18000;PROFESSOR ROSSONI;REDE - PRB / PSDC / REDE;1.501;0,69 %
0037;43555;LUCAS FRAGA;PV - PSD / PSC / PV;1.497;0,69 %
0038;90100;ROBSON BATISTA;PROS - PP / PT do B / PC do B / PROS;1.476;0,68 %
0039;17770;RENZO MENDES;PSL - PSL / PMB;1.475;0,68 %
0040;44321;LEO GUARÇONI;PRP;1.473;0,68 %
0041;18123;ZÉ NILTON;REDE - PRB / PSDC / REDE;1.431;0,66 %
0042;51051;BIDINHO;PEN - PTB / PTC / PEN;1.428;0,66 %
0043;17333;D'ORLEANS SAGAIS;PSL - PSL / PMB;1.393;0,64 %
0044;27000;PAULO ASAFE;PSDC - PRB / PSDC / REDE;1.388;0,64 %
0045;31234;TITA;PHS - PHS / PMN;1.376;0,63 %
0046;40123;ALEX RECEPUTE;PSB - PDT / PSB / PPS;1.357;0,62 %
0047;17234;ZEZINHO TAXISTA;PSL - PSL / PMB;1.345;0,62 %
0048;44333;TADEU SPALENZA;PRP;1.305;0,60 %
0049;55181;DELEGADO ADROALDO LOPES;PSD - PSD / PSC / PV;1.295;0,59 %
0050;44000;FABIO BARCELLOS;PRP;1.275;0,58 %
0051;17888;BEKINHA;PSL - PSL / PMB;1.268;0,58 %
0052;19133;CABO BERNARDES;PTN;1.261;0,58 %
0053;10444;GLAUBER LEMOS;PRB - PRB / PSDC / REDE;1.239;0,57 %
