Seq.   (i);Núm.;Candidato;Partido/Coligação;Votação;% Válidos
*0001;23123;FABRÍCIO GANDINI;PPS - PPS / PROS;7.611;4,21 %
*0002;23444;DENNINHO;PPS - PPS / PROS;6.167;3,41 %
*0003;40000;DAVI ESMAEL;PSB - PSB / PHS;5.165;2,85 %
*0004;23023;VINICIUS SIMÕES;PPS - PPS / PROS;4.403;2,43 %
*0005;45612;NEUZINHA;PSDB - PSC / PSDB;3.652;2,02 %
*0006;23000;LEONIL;PPS - PPS / PROS;3.577;1,98 %
*0007;40222;NATHAN MEDEIROS;PSB - PSB / PHS;3.316;1,83 %
*0008;55222;MAZINHO;PSD - SD / PMB / PSD / PRTB / PTC;3.090;1,71 %
*0009;14333;DALTO NEVES;PTB;3.083;1,70 %
*0010;12123;MAX DA MATA;PDT;2.339;1,29 %
*0011;20000;WANDERSON MARINHO;PSC - PSC / PSDB;2.208;1,22 %
*0012;12345;SANDRO PARRINI;PDT;2.024;1,12 %
*0013;43111;LUIZ PAULO AMORIM;PV - PP / PV / REDE;1.696;0,94 %
*0014;14222;ROBERTO MARTINS;PTB;1.547;0,86 %
*0015;11444;CLEBER FELIX (CLEBINHO);PP - PP / PV / REDE;1.524;0,84 %
0016;23222;LUIZ EMANUEL;PPS - PPS / PROS;3.138;1,73 %
0017;31444;ROGERINHO PINHEIRO;PHS - PSB / PHS;2.961;1,64 %
0018;77222;LUISINHO;SD - SD / PMB / PSD / PRTB / PTC;2.693;1,49 %
0019;23333;WAGUINHO ITO;PPS - PPS / PROS;2.087;1,15 %
0020;45000;ALOISIO VAREJAO;PSDB - PSC / PSDB;1.878;1,04 %
0021;35777;CAPITÃO ASSUMÇÃO;PMB - SD / PMB / PSD / PRTB / PTC;1.739;0,96 %
0022;12369;DUDA BRASIL;PDT;1.711;0,95 %
0023;45500;THOMAZ TOMMASI;PSDB - PSC / PSDB;1.622;0,90 %
0024;40123;JUAREZ VIEIRA;PSB - PSB / PHS;1.584;0,88 %
0025;20182;BAIANO DO SALÃO;PSC - PSC / PSDB;1.538;0,85 %
0026;14123;ANDERSON GOGGI;PTB;1.529;0,85 %
0027;11123;FABIANO NUNES;PP - PP / PV / REDE;1.516;0,84 %
0028;23456;VIRGÍNIA BRANDÃO;PPS - PPS / PROS;1.507;0,83 %
0029;14888;ANTONIO CESAR ANDRADE;PTB;1.455;0,80 %
0030;20156;SEBASTIÃO LUIZ;PSC - PSC / PSDB;1.400;0,77 %
0031;43333;ESPEDITO CEARÁ;PV - PP / PV / REDE;1.375;0,76 %
0032;90123;FABIO LUBE;PROS - PPS / PROS;1.375;0,76 %
0033;11000;DELMAESTRO;PP - PP / PV / REDE;1.357;0,75 %
0034;12444;EVANDRO FIGUEIREDO;PDT;1.353;0,75 %
0035;43123;PAULO VITOR DAL'COL;PV - PP / PV / REDE;1.344;0,74 %
0036;45678;EDUARDO GAVA;PSDB - PSC / PSDB;1.336;0,74 %
0037;12300;LEONARDO MONJARDIM;PDT;1.274;0,70 %
0038;43223;ALEX PIU;PV - PP / PV / REDE;1.190;0,66 %
0039;12000;FININHO;PDT;1.179;0,65 %
0040;23777;TONINHO BARROS;PPS - PPS / PROS;1.157;0,64 %
0041;43000;NAONE GARCIA;PV - PP / PV / REDE;1.153;0,64 %
0042;14027;CAMILLO NEVES;PTB;1.140;0,63 %
0043;12181;WILLIANS BIGU;PDT;1.069;0,59 %
0044;14444;RONALT;PTB;1.037;0,57 %
0045;20456;CEMIR RODRIGUES;PSC - PSC / PSDB;865;0,48 %
0046;14777;THIAGO SARLO;PTB;824;0,46 %
0047;12321;IZAK SANTOS;PDT;709;0,39 %
0048;31031;JAJA;PHS - PSB / PHS;700;0,39 %
0049;14111;MARCIO ESTEVES;PTB;682;0,38 %
0050;11111;JULIO PEIXOTO;PP - PP / PV / REDE;644;0,36 %
0051;12190;PAPINHA;PDT;639;0,35 %
0052;11100;ODINALDO;PP - PP / PV / REDE;638;0,35 %
0053;14500;DANIEL SOM;PTB;623;0,34 %
0054;31331;AMARAL;PHS - PSB / PHS;601;0,33 %
0055;31192;JONAS DA SAUDE;PHS - PSB / PHS;594;0,33 %
0056;12222;IVAN ERLER;PDT;586;0,32 %
0057;12777;OLYMPIO BARCELLOS;PDT;572;0,32 %
0058;14000;ISMAEL PASTORINI;PTB;568;0,31 %
0059;12580;GILSON ANTUNES;PDT;543;0,30 %
0060;14555;NEIA LÍDER;PTB;543;0,30 %
0061;12111;ROBINHO DA ILHA;PDT;542;0,30 %
0062;18123;EDUARDO SIMÕES;REDE - PP / PV / REDE;497;0,27 %
0063;55999;DR. FRASSON;PSD - SD / PMB / PSD / PRTB / PTC;486;0,27 %
0064;35190;TADEU;PMB - SD / PMB / PSD / PRTB / PTC;464;0,26 %
0065;14234;MARILZA CELIN;PTB;433;0,24 %
0066;14567;DINHO DO BAR;PTB;412;0,23 %
0067;14014;ANINHA DA SORVETERIA;PTB;411;0,23 %
0068;31222;WAGNER DA ILHA;PHS - PSB / PHS;410;0,23 %
0069;43043;THIAGO CIRILO;PV - PP / PV / REDE;403;0,22 %
0070;20020;EDNA OMAR;PSC - PSC / PSDB;369;0,20 %
0071;14009;FABRICIO TREVISANI;PTB;361;0,20 %
0072;12456;PROFESSOR MILITAO;PDT;336;0,19 %
0073;20192;BARATA;PSC - PSC / PSDB;328;0,18 %
0074;23303;SANDRA CARNEIRO;PPS - PPS / PROS;327;0,18 %
0075;31000;KIEL DO ESPORTE;PHS - PSB / PHS;327;0,18 %
0076;20555;WILSON DA LUZ;PSC - PSC / PSDB;321;0,18 %
0077;12200;DIEGO LOPES;PDT;313;0,17 %
0078;36456;PR. HIARLEY BARBOSA;PTC - SD / PMB / PSD / PRTB / PTC;308;0,17 %
0079;40400;DR. FLAVIO SIQUEIRA - SULIM;PSB - PSB / PHS;286;0,16 %
